Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-4003.445	-4261.888	258.4422	2.512291	1.565438	0.4152181	0.744697	0.255303	0.5270512
6	-3995.437	-4253.506	258.0689	2.48449	2.114005	0.4461534	0.639076	0.360924	0.51422
12	-3982.255	-4240.282	258.0271	2.511768	2.114005	0.4524155	0.713927	0.286073	0.5449962
18	-3996.018	-4254.151	258.133	2.503587	1.92156	0.4576992	0.629056	0.370944	0.5696612
24	-3990.986	-4249.279	258.2929	2.447835	1.791164	0.4441629	0.740015	0.259985	0.5739716
30	-4002.875	-4261.154	258.2787	2.45044	1.791164	0.4441629	0.78234	0.21766	0.6109825
36	-3993.078	-4251.363	258.2853	2.563952	1.791164	0.3911466	0.690709	0.309291	0.5188038
42	-4002.414	-4260.324	257.9097	1.850895	1.981387	0.3944974	0.73073	0.26927	1.54806
48	-3991.599	-4249.565	257.9661	1.801731	1.76926	0.3944974	0.781736	0.218264	1.638241
54	-3979.392	-4237.723	258.3311	1.923377	1.458861	0.3925886	0.687083	0.312917	1.440258
60	-3990.86	-4249.018	258.1577	2.031096	1.858556	0.3693865	0.763936	0.236064	1.314288
66	-3984.806	-4243.046	258.2405	2.045454	1.819984	0.4016797	0.764553	0.235447	1.200597
72	-3998.886	-4257.054	258.1675	1.979766	1.819984	0.4480078	0.615882	0.384118	1.245434
78	-4000.847	-4259.031	258.1835	2.007597	1.737135	0.4480078	0.760966	0.239034	1.25326
84	-4018.231	-4276.502	258.2712	2.691287	1.674386	0.3728474	0.637354	0.362646	0.483326
90	-3997.809	-4255.97	258.1611	2.582977	1.674386	0.4919221	0.709689	0.290311	0.483326
96	-3986.43	-4244.577	258.1479	2.595366	1.674386	0.4919221	0.724944	0.275056	0.4744916
102	-4004.018	-4262.396	258.3781	2.608204	1.371701	0.4773995	0.646251	0.353749	0.5399816
108	-4001.478	-4259.576	258.0977	2.497319	1.939877	0.4773995	0.763808	0.236192	0.5532577
114	-3989.254	-4247.587	258.3331	2.568746	1.660522	0.4088788	0.722706	0.277294	0.5047571
120	-3990.256	-4248.448	258.1917	2.028841	1.651563	0.5764306	0.600412	0.399588	1.094937
126	-3989.553	-4247.845	258.2925	2.022385	1.593253	0.5324474	0.79726	0.20274	1.107407
132	-3993.742	-4252.091	258.3493	1.924646	1.213701	0.5685742	0.607728	0.392272	1.344004
138	-3975.102	-4233.53	258.4286	1.924646	1.486786	0.4245241	0.729522	0.270478	1.298174
144	-3990.203	-4248.639	258.436	1.926925	1.437324	0.4245241	0.680925	0.319075	1.320352
150	-3970.62	-4228.851	258.2316	1.925995	1.672318	0.4245241	0.745639	0.254361	1.350123
156	-3960.467	-4218.664	258.197	1.960616	1.672318	0.4245241	0.745639	0.254361	1.350123
162	-3968.603	-4226.787	258.1838	1.958273	1.502006	0.5350699	0.679536	0.320464	1.307435
168	-3987.211	-4245.745	258.5338	1.940401	1.192472	0.4340495	0.641472	0.358528	1.376414
174	-3985.759	-4244.001	258.2426	1.951301	1.497591	0.4340495	0.705531	0.294469	1.404475
180	-3971.481	-4229.584	258.1025	1.931083	1.497591	0.4340495	0.716294	0.283706	1.526193
186	-3973.589	-4231.571	257.9824	1.821727	1.497591	0.4190274	0.753094	0.246906	1.712349
192	-3983.514	-4241.169	257.655	1.70751	1.914161	0.3201744	0.772506	0.227494	1.963471
198	-3980.179	-4238.342	258.1633	1.792319	1.629083	0.4385341	0.733875	0.266125	1.508543
204	-3981.963	-4240.046	258.0824	1.85938	1.664186	0.4385341	0.721914	0.278086	1.500906
210	-3985.103	-4243.169	258.0666	1.887059	1.694956	0.4208065	0.674705	0.325295	1.500906
216	-3999.999	-4258.256	258.257	1.934355	1.386559	0.4789319	0.737593	0.262407	1.410364
222	-3987.946	-4246.305	258.3581	1.918071	1.386559	0.4789319	0.737593	0.262407	1.343702
228	-3986.012	-4244.075	258.063	1.889119	1.525153	0.4789319	0.756716	0.243284	1.513009
